"","id","rid","sex","birth","race","educ","marital","children","occupat","arrests","jail","crime01","crime02","crime03","crime04","crime05","crime06","crime07","crime08","crime09","crime10","crime11","crime12","crime13","crime14"
"489","0489","991","1","39","2","12","2","04","20","01","180","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"490","0490","991","1","43","2","12","4","00","20","01","365","02","00","00","00","00","00","00","00","00","00","00","00","00","00"
"491","0491","991","1","20","2","12","3","00","10","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"492","0492","991","1","50","2","11","1","00","00","01","365","12","00","00","00","00","00","00","00","00","00","00","00","00","00"
"493","0493","991","1","53","1","10","3","01","00","01","007","31","00","00","00","00","00","00","00","00","00","00","00","00","00"
"494","0494","991","1","36","2","11","6","00","10","01","365","02","00","00","00","00","00","00","00","00","00","00","00","00","00"
"495","0495","991","1","29","2","07","1","00","10","01","060","32","00","00","00","00","00","00","00","00","00","00","00","00","00"
"496","0496","991","1","49","1","13","1","00","00","01","365","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"497","0497","991","1","49","1","12","1","00","00","01","010","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"498","0498","991","1","46","1","02","1","00","20","01","365","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"499","0499","991","1","53","1","12","1","00","00","01","365","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"500","0500","991","1","30","2","10","4","01","10","01","365","21","00","00","00","00","00","00","00","00","00","00","00","00","00"
"501","0501","991","1","48","2","12","1","00","20","01","365","22","00","00","00","00","00","00","00","00","00","00","00","00","00"
"502","0502","991","1","47","2","14","1","00","60","01","180","53","00","00","00","00","00","00","00","00","00","00","00","00","00"
"503","0503","991","1","39","1","07","1","01","10","01","180","41","00","00","00","00","00","00","00","00","00","00","00","00","00"
"504","0504","991","1","51","2","11","1","00","30","01","180","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"505","0505","991","1","52","1","10","1","00","00","01","030","18","00","00","00","00","00","00","00","00","00","00","00","00","00"
"506","0506","991","1","19","1","11","2","00","30","01","120","84","00","00","00","00","00","00","00","00","00","00","00","00","00"
"507","0507","991","1","44","2","11","2","03","10","01","365","18","00","00","00","00","00","00","00","00","00","00","00","00","00"
"508","0508","991","1","13","2","03","2","03","00","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"509","0509","991","1","24","1","10","1","00","30","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"510","0510","991","1","14","1","12","2","01","20","01","365","41","00","00","00","00","00","00","00","00","00","00","00","00","00"
"511","0511","991","1","24","2","08","1","00","10","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"512","0512","991","1","48","2","08","1","00","20","01","365","15","00","00","00","00","00","00","00","00","00","00","00","00","00"
"513","0513","991","1","34","1","09","2","05","20","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"514","0514","991","1","55","1","11","1","00","00","01","003","44","00","00","00","00","00","00","00","00","00","00","00","00","00"
"515","0515","991","1","54","2","10","1","00","30","01","183","21","00","00","00","00","00","00","00","00","00","00","00","00","00"
"516","0516","991","2","33","1","09","4","03","10","01","025","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"517","0517","991","1","41","2","08","1","00","10","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"518","0518","991","1","32","2","03","2","03","20","02","210","22","14","00","00","00","00","00","00","00","00","00","00","00","00"
"519","0519","991","1","46","2","10","2","04","20","01","030","13","00","00","00","00","00","00","00","00","00","00","00","00","00"
"520","0520","991","1","33","2","11","3","01","20","01","365","23","00","00","00","00","00","00","00","00","00","00","00","00","00"
"521","0521","991","1","52","1","14","1","00","00","01","005","31","00","00","00","00","00","00","00","00","00","00","00","00","00"
